year_awarded,nobel_prize,recipient,gender,prize_amount,birth_place
1901,The Nobel Prize in Chemistry,Jacobus H. van 't Hoff,male,150782,the Netherlands
1901,The Nobel Prize in  Literature,Sully Prudhomme,male,150782,France
1901,The Nobel Peace Prize,Henry Dunant,male,150782,Switzerland
1901,The Nobel Prize in Physics,Wilhelm Conrad Röntgen,male,150782,Prussia
1901,The Nobel Prize in Physiology or Medicine,Emil von Behring,male,150782,Prussia
1902,The Nobel Prize in Chemistry,Emil Fischer,male,141847,Prussia
1902,The Nobel Prize in  Literature,Theodor Mommsen,male,141847,Schleswig
1902,The Nobel Peace Prize,Élie Ducommun,male,141847,Switzerland
1902,The Nobel Prize in Physics,Hendrik A. Lorentz,male,141847,the Netherlands
1902,The Nobel Prize in Physiology or Medicine,Ronald Ross,male,141847,India
1903,The Nobel Prize in Chemistry,Svante Arrhenius,male,141358,Sweden
1903,The Nobel Prize in  Literature,Bjørnstjerne Bjørnson,male,141358,Norway
1903,The Nobel Peace Prize,Randal Cremer,male,141358,United Kingdom
1903,The Nobel Prize in Physics,Henri Becquerel,male,141358,France
1903,The Nobel Prize in Physiology or Medicine,Niels Ryberg Finsen,male,141358,Faroe Islands (Denmark)
1904,The Nobel Prize in Chemistry,Sir William Ramsay,male,140859,Scotland
1904,The Nobel Prize in  Literature,Frédéric Mistral,male,140859,France
1904,The Nobel Peace Prize,Institute of International Law,NULL,140859,NULL
1904,The Nobel Prize in Physics,Lord Rayleigh,male,140859,United Kingdom
1904,The Nobel Prize in Physiology or Medicine,Ivan Pavlov,male,140859,Russia
1905,The Nobel Prize in Chemistry,Adolf von Baeyer,male,138089,Prussia
1905,The Nobel Prize in  Literature,Henryk Sienkiewicz,male,138089,Poland
1905,The Nobel Peace Prize,Bertha von Suttner,female,138089,Austrian Empire
1905,The Nobel Prize in Physics,Philipp Lenard,male,138089,Hungary
1905,The Nobel Prize in Physiology or Medicine,Robert Koch,male,138089,Germany
1906,The Nobel Prize in Chemistry,Henri Moissan,male,138536,France
1906,The Nobel Prize in  Literature,Giosuè Carducci,male,138536,Tuscany
1906,The Nobel Peace Prize,Theodore Roosevelt,male,138536,USA
1906,The Nobel Prize in Physics,J.J. Thomson,male,138536,United Kingdom
1906,The Nobel Prize in Physiology or Medicine,Camillo Golgi,male,138536,Italy
1907,The Nobel Prize in Chemistry,Eduard Buchner,male,138796,Bavaria
1907,The Nobel Prize in  Literature,Rudyard Kipling,male,138796,British India
1907,The Nobel Peace Prize,Ernesto Teodoro Moneta,male,138796,Austrian Empire
1907,The Nobel Prize in Physics,Albert A. Michelson,male,138796,Prussia
1907,The Nobel Prize in Physiology or Medicine,Alphonse Laveran,male,138796,France
1908,The Nobel Prize in Chemistry,Ernest Rutherford,male,139800,New Zealand
1908,The Nobel Prize in  Literature,Rudolf Eucken,male,139800,East Friesland
1908,The Nobel Peace Prize,Klas Pontus Arnoldson,male,139800,Sweden
1908,The Nobel Prize in Physics,Gabriel Lippmann,male,139800,Luxembourg
1908,The Nobel Prize in Physiology or Medicine,Ilya Mechnikov,male,139800,Russian Empire
1909,The Nobel Prize in Chemistry,Wilhelm Ostwald,male,139800,Russian Empire
1909,The Nobel Prize in  Literature,Selma Lagerlöf,female,139800,Sweden
1909,The Nobel Peace Prize,Auguste Beernaert,male,139800,Belgium
1909,The Nobel Prize in Physics,Guglielmo Marconi,male,139800,Italy
1909,The Nobel Prize in Physiology or Medicine,Theodor Kocher,male,139800,Switzerland
1910,The Nobel Prize in Chemistry,Otto Wallach,male,140703,Germany
1910,The Nobel Prize in  Literature,Paul Heyse,male,140703,Prussia
1910,The Nobel Peace Prize,Permanent International Peace Bureau,NULL,140703,NULL
1910,The Nobel Prize in Physics,Johannes Diderik van der Waals,male,140703,the Netherlands
1910,The Nobel Prize in Physiology or Medicine,Albrecht Kossel,male,140703,Mecklenburg
1911,The Nobel Prize in Chemistry,Marie Curie,female,140695,Russian Empire
1911,The Nobel Prize in  Literature,Maurice Maeterlinck,male,140695,Belgium
1911,The Nobel Peace Prize,Tobias Asser,male,140695,the Netherlands
1911,The Nobel Prize in Physics,Wilhelm Wien,male,140695,Prussia
1911,The Nobel Prize in Physiology or Medicine,Allvar Gullstrand,male,140695,Sweden
1912,The Nobel Prize in Chemistry,Victor Grignard,male,140476,France
1912,The Nobel Prize in  Literature,Gerhart Hauptmann,male,140476,Prussia
1912,The Nobel Peace Prize,Elihu Root,male,140476,USA
1912,The Nobel Prize in Physics,Gustaf Dalén,male,140476,Sweden
1912,The Nobel Prize in Physiology or Medicine,Alexis Carrel,male,140476,France
1913,The Nobel Prize in Chemistry,Alfred Werner,male,143010,France
1913,The Nobel Prize in  Literature,Rabindranath Tagore,male,143010,India
1913,The Nobel Peace Prize,Henri La Fontaine,male,143010,Belgium
1913,The Nobel Prize in Physics,Heike Kamerlingh Onnes,male,143010,the Netherlands
1913,The Nobel Prize in Physiology or Medicine,Charles Richet,male,143010,France
1914,The Nobel Prize in Chemistry,Theodore W. Richards,male,146900,USA
1914,The Nobel Prize in Physics,Max von Laue,male,146900,Germany
1914,The Nobel Prize in Physiology or Medicine,Robert Bárány,male,146900,Austria
1915,The Nobel Prize in Chemistry,Richard Willstätter,male,149223,Germany
1915,The Nobel Prize in  Literature,Romain Rolland,male,149223,France
1915,The Nobel Prize in Physics,William Bragg,male,149223,United Kingdom
1916,The Nobel Prize in  Literature,Verner von Heidenstam,male,131793,Sweden
1917,The Nobel Prize in  Literature,Karl Gjellerup,male,133823,Denmark
1917,The Nobel Peace Prize,International Committee of the Red Cross,NULL,133823,NULL
