,awardYear,prizeAmount,prizeAmountAdjusted,category.en,category.no,category.se,categoryFullName.en,categoryFullName.no,categoryFullName.se,links.rel,links.href,links.action,links.types,dateAwarded,topMotivation.en,topMotivation.se,0,id,knownName,links,motivation,orgName,portion,sortOrder
0,1901,150782,8567159,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/che/1901,Get,application/json,,,,,160,"{'en': ""Jacobus H. van 't Hoff""}","{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/160', 'action': 'Get', 'types': 'application/json'}","{'en': 'in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions', 'se': 'såsom ett erkännande av den utomordentliga förtjänst han inlagt genom upptäckten av lagarna för den kemiska dynamiken och för det osmotiska trycket i lösningar'}",,1,1
1,1901,150782,8567159,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/lit/1901,Get,application/json,,,,,569,{'en': 'Sully Prudhomme'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/569', 'action': 'Get', 'types': 'application/json'}","{'en': 'in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect', 'se': 'såsom ett erkännande av hans utmärkta, jämväl under senare år ådagalagda förtjänster som författare och särskilt av hans om hög idealitet, konstnärlig fulländning samt sällspord förening av hjärtats och snillets egenskaper vittnande diktning'}",,1,1
2,1901,150782,8567159,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/pea/1901,Get,application/json,1901-12-10,,,,462,{'en': 'Henry Dunant'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/462', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his humanitarian efforts to help wounded soldiers and create international understanding', 'no': 'for sin humanitære innsats for å hjelpe sårede soldater og skape internasjonal forståelse'}",,1/2,1
3,1901,150782,8567159,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/phy/1901,Get,application/json,,,,,1,{'en': 'Wilhelm Conrad Röntgen'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/1', 'action': 'Get', 'types': 'application/json'}","{'en': 'in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him', 'se': 'såsom ett erkännande av den utomordentliga förtjänst han inlagt genom upptäckten av de egendomliga strålar, som sedermera uppkallats efter honom'}",,1,1
4,1901,150782,8567159,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/med/1901,Get,application/json,,,,,293,{'en': 'Emil von Behring'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/293', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths', 'se': 'för hans arbete rörande serumterapien och särskilt dess användning mot difteri, varigenom han brutit en ny väg inom den medicinska vetenskapens område och givit läkaren ett segerrikt vapen i kampen mot sjukdom och död'}",,1,1
5,1902,141847,8059489,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/che/1902,Get,application/json,,,,,161,{'en': 'Emil Fischer'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/161', 'action': 'Get', 'types': 'application/json'}","{'en': 'in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses', 'se': 'såsom ett erkännande av den utomordentliga förtjänst han inlagt genom sina syntetiska arbeten inom socker - och purin-grupperna'}",,1,1
6,1902,141847,8059489,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/lit/1902,Get,application/json,,,,,571,{'en': 'Theodor Mommsen'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/571', 'action': 'Get', 'types': 'application/json'}","{'en': 'the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>', 'se': 'nutidens störste levande mästare i den historiska framställningens konst, med särskilt fäst avseende å hans monumentala verk Römische Geschichte'}",,1,1
7,1902,141847,8059489,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/pea/1902,Get,application/json,1902-12-10,,,,464,{'en': 'Élie Ducommun'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/464', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his untiring and skilful directorship of the Bern Peace Bureau', 'no': 'for sin utrettelige og dyktige ledelse av Det internasjonale fredsbyrået i Bern'}",,1/2,1
8,1902,141847,8059489,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/phy/1902,Get,application/json,,,,,2,{'en': 'Hendrik A. Lorentz'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/2', 'action': 'Get', 'types': 'application/json'}","{'en': 'in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena', 'se': 'såsom ett erkännande av den utomordentliga förtjänst de inlagt genom sina undersökningar över magnetismens inflytande på strålningsfenomenen'}",,1/2,1
9,1902,141847,8059489,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/med/1902,Get,application/json,,,,,294,{'en': 'Ronald Ross'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/294', 'action': 'Get', 'types': 'application/json'}","{'en': 'for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it', 'se': 'för hans arbete rörande malarian, varigenom han uppdagat det sätt, varpå densamma vinner insteg i organismen, och därmed lagt grunden för betydelsefulla forskningar angående denna sjukdom och dess bekämpande'}",,1,1
10,1903,141358,7795478,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,nobelPrize,http://masterdataapi.nobelprize.org/2/nobelPrize/che/1903,Get,application/json,,,,,162,{'en': 'Svante Arrhenius'},"{'rel': 'laureate', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/162', 'action': 'Get', 'types': 'application/json'}","{'en': 'in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation', 'se': 'såsom ett erkännande för den utomordentliga förtjänst han genom sin elektrolytiska dissociations-teori inlagt om kemiens utveckling'}",,1,1
