,id,knownName.en,orgName.en,gender,birth.date,birth.place.country.en
0,745,A. Michael Spence,,male,1943-00-00,USA
1,102,Aage N. Bohr,,male,1922-06-19,Denmark
2,779,Aaron Ciechanover,,male,1947-10-01,British Protectorate of Palestine
3,259,Aaron Klug,,male,1926-08-11,Lithuania
4,114,Abdus Salam,,male,1926-01-29,India
5,982,Abhijit Banerjee,,male,1961-02-21,India
6,981,Abiy Ahmed Ali,,male,1976-08-15,Ethiopia
7,843,Ada E. Yonath,,female,1939-06-22,British Mandate of Palestine
8,866,Adam G. Riess,,male,1969-12-16,USA
9,199,Adolf Butenandt,,male,1903-03-24,Germany
10,164,Adolf von Baeyer,,male,1835-10-31,Prussia
11,185,Adolf Windaus,,male,1876-12-25,Germany
12,541,Adolfo Pérez Esquivel,,male,1931-11-26,Argentina
13,292,Ahmed Zewail,,male,1946-02-26,Egypt
14,853,Akira Suzuki,,male,1930-09-12,Japan
15,978,Akira Yoshino,,male,1948-01-30,Japan
16,819,Al Gore,,male,1948-03-31,USA
17,729,Alan Heeger,,male,1936-01-22,USA
18,376,Alan Hodgkin,,male,1914-02-05,United Kingdom
19,730,Alan MacDiarmid,,male,1927-04-14,New Zealand
20,11,Albert A. Michelson,,male,1852-12-19,Prussia
21,628,Albert Camus,,male,1913-11-07,French Algeria
22,403,Albert Claude,,male,1898-08-24,Belgium
23,26,Albert Einstein,,male,1879-03-14,Germany
24,814,Albert Fert,,male,1938-03-07,France
25,465,Albert Gobat,,male,1843-05-21,Switzerland
26,519,Albert Luthuli,,male,1898-00-00,Southern Rhodesia
27,513,Albert Schweitzer,,male,1875-01-14,Germany
28,332,Albert Szent-Györgyi,,male,1893-09-16,Austria-Hungary
29,304,Albrecht Kossel,,male,1853-09-16,Mecklenburg
30,83,Aleksandr M. Prokhorov,,male,1916-07-11,Australia
31,644,Alexandr Solzhenitsyn,,male,1918-12-11,Russia
32,766,Alexei Abrikosov,,male,1928-06-25,USSR
33,306,Alexis Carrel,,male,1873-06-28,France
34,544,Alfonso García Robles,,male,1911-03-20,Mexico
35,392,Alfred D. Hershey,,male,1908-12-04,USA
36,479,Alfred Fried,,male,1864-11-11,Austria
37,450,Alfred G. Gilman,,male,1941-07-01,USA
38,87,Alfred Kastler,,male,1902-05-03,Germany
39,174,Alfred Werner,,male,1866-12-12,France
40,892,Alice Munro,,female,1931-07-10,Canada
41,417,Allan M. Cormack,,male,1924-02-23,South Africa
